player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
1,4,45,90.39375,25.194696,Character.FOX,Action.JUMPING_ARIAL_FORWARD,11,False,60.0,0,False,False,-0.8235156,0.0,0.2479299,0.46140516,1.8860002
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,19,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,89.79403,27.267178,Character.FOX,Action.JUMPING_ARIAL_FORWARD,12,False,60.0,0,False,False,-0.8235156,0.0,0.22378999,0.41648006,1.6560001
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,20,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,89.170166,29.064734,Character.FOX,Action.JUMPING_ARIAL_FORWARD,13,False,60.0,0,False,False,-0.8235156,0.0,0.19965008,0.37155497,1.4260001
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,21,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,88.522156,30.587364,Character.FOX,Action.JUMPING_ARIAL_FORWARD,14,False,60.0,0,False,False,-0.8235156,0.0,0.17551017,0.32662988,1.1960001
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,22,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,87.850006,31.835068,Character.FOX,Action.JUMPING_ARIAL_FORWARD,15,False,60.0,0,False,False,-0.8235156,0.0,0.15137026,0.28170478,0.9660001
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,23,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,87.15372,32.807846,Character.FOX,Action.JUMPING_ARIAL_FORWARD,16,False,60.0,0,False,False,-0.8235156,0.0,0.12723035,0.23677967,0.73600006
2,4,12,55.624252,1e-04,Character.FALCO,Action.STANDING,24,True,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,45,86.43329,33.505703,Character.FOX,Action.JUMPING_ARIAL_FORWARD,17,False,60.0,0,False,False,-0.8235156,0.0,0.10309045,0.19185457,0.50600004
2,4,12,55.787243,1e-04,Character.FALCO,Action.WALK_SLOW,1,True,60.0,2,True,False,0.16299212,0.16299212,0.0,0.0,0.0
1,4,45,85.68872,33.928635,Character.FOX,Action.JUMPING_ARIAL_FORWARD,18,False,60.0,0,False,False,-0.8235156,0.0,0.078950554,0.14692946,0.27600002
2,4,12,56.010986,1e-04,Character.FALCO,Action.WALK_SLOW,2,True,60.0,2,True,False,0.22374332,0.22374332,0.0,0.0,0.0
